mp_name,constituency,region,country,party,party_abbreviation,signed_call
Mike Reader,Northampton South,East Midlands,England,Labour,Lab,FALSE
Alice Macdonald,Norwich North,East of England,England,Labour and Co-operative,Lab,FALSE
Clive Lewis,Norwich South,East of England,England,Labour,Lab,TRUE
Nadia Whittome,Nottingham East,East Midlands,England,Labour,Lab,FALSE
Alex Norris,Nottingham North and Kimberley,East Midlands,England,Labour and Co-operative,Lab,FALSE
Lilian Greenwood,Nottingham South,East Midlands,England,Labour,Lab,FALSE
Jodie Gosling,Nuneaton,West Midlands,England,Labour,Lab,FALSE
Louie French,Old Bexley and Sidcup,London,England,Conservative,Con,FALSE
Debbie Abrahams,Oldham East and Saddleworth,North West,England,Labour,Lab,FALSE
Jim McMahon,"Oldham West, Chadderton and Royton",North West,England,Labour and Co-operative,Lab,FALSE
Alistair Carmichael,Orkney and Shetland,Scotland,Scotland,Liberal Democrat,LD,FALSE
Gareth Bacon,Orpington,London,England,Conservative,Con,FALSE
Jade Botterill,Ossett and Denby Dale,Yorkshire and The Humber,England,Labour,Lab,FALSE
Anneliese Dodds,Oxford East,South East,England,Labour and Co-operative,Lab,FALSE
Layla Moran,Oxford West and Abingdon,South East,England,Liberal Democrat,LD,TRUE
Alison Taylor,Paisley and Renfrewshire North,Scotland,Scotland,Labour,Lab,FALSE
Johanna Baxter,Paisley and Renfrewshire South,Scotland,Scotland,Labour,Lab,FALSE
Miatta Fahnbulleh,Peckham,London,England,Labour and Co-operative,Lab,FALSE
Jonathan Hinder,Pendle and Clitheroe,North West,England,Labour,Lab,FALSE
Marie Tidball,Penistone and Stocksbridge,Yorkshire and The Humber,England,Labour,Lab,FALSE
Markus Campbell-Savours,Penrith and Solway,North West,England,Labour,Lab,FALSE
Pete Wishart,Perth and Kinross-shire,Scotland,Scotland,Scottish National Party,SNP,FALSE
Andrew Pakes,Peterborough,East of England,England,Labour and Co-operative,Lab,FALSE
Fred Thomas,Plymouth Moor View,South West,England,Labour,Lab,FALSE
Luke Pollard,Plymouth Sutton and Devonport,South West,England,Labour and Co-operative,Lab,FALSE
Yvette Cooper,"Pontefract, Castleford and Knottingley",Yorkshire and The Humber,England,Labour,Lab,FALSE
Alex Davies-Jones,Pontypridd,Wales,Wales,Labour,Lab,FALSE
Neil Duncan-Jordan,Poole,South West,England,Labour,Lab,TRUE
Apsana Begum,Poplar and Limehouse,London,England,Labour,Lab,FALSE
Amanda Martin,Portsmouth North,South East,England,Labour,Lab,FALSE
Stephen Morgan,Portsmouth South,South East,England,Labour,Lab,FALSE
Mark Hendrick,Preston,North West,England,Labour and Co-operative,Lab,FALSE
Fleur Anderson,Putney,London,England,Labour,Lab,FALSE
Georgia Gould,Queen's Park and Maida Vale,London,England,Labour,Lab,FALSE
John Healey,Rawmarsh and Conisbrough,Yorkshire and The Humber,England,Labour,Lab,FALSE
Mark Francois,Rayleigh and Wickford,East of England,England,Conservative,Con,FALSE
Matt Rodda,Reading Central,South East,England,Labour,Lab,FALSE
Olivia Bailey,Reading West and Mid Berkshire,South East,England,Labour,Lab,FALSE
Anna Turley,Redcar,North East,England,Labour and Co-operative,Lab,FALSE
Chris Bloore,Redditch,West Midlands,England,Labour,Lab,FALSE
Rebecca Paul,Reigate,South East,England,Conservative,Con,FALSE
Chris Bryant,Rhondda and Ogmore,Wales,Wales,Labour,Lab,FALSE
Maya Ellis,Ribble Valley,North West,England,Labour,Lab,FALSE
Rishi Sunak,Richmond and Northallerton,Yorkshire and The Humber,England,Conservative,Con,FALSE
Sarah Olney,Richmond Park,London,England,Liberal Democrat,LD,FALSE
Paul Waugh,Rochdale,North West,England,Labour and Co-operative,Lab,FALSE
Lauren Edwards,Rochester and Strood,South East,England,Labour,Lab,FALSE
Andrew Rosindell,Romford,London,England,Conservative,Con,FALSE
Caroline Nokes,Romsey and Southampton North,South East,England,Conservative,Con,FALSE
